year,month,day,statefips,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,17,46,0.014,0.0274,0.00736,0.0172,0.00312,0.0114,0.0158,0.0113,-0.038187085440496114,0.00438,-0.07295280555169754,0.000202
2020,1,17,47,0.00167,0.0045,-0.00132,0.005,-0.00244,0.00157,0.00146,0.00196,-0.00123,0.000185,3.34e-06,0.0132
2020,1,17,48,0.000564,0.000275,-0.00363,0.00541,0.000762,0.000637,-0.00168,0.00326,-0.000706,0.00364,-0.0013,8.33e-05
2020,1,17,49,0.00291,0.00369,-0.000134,0.00429,0.00553,0.00179,0.00116,0.00483,0.00118,0.00778,-0.0026,0.00571
2020,1,17,50,-0.00166,-0.00253,-0.00226,0.00214,-0.00752,-0.000412,-0.00231,-0.000907,-0.00774,0.000116,-0.00377,-0.0018
2020,1,17,51,0.000218,0.00134,-0.000895,0.00218,-0.00137,0.000725,9.02e-05,0.000315,0.00127,0.00124,-0.00158,0.00174
2020,1,17,53,0.00185,-0.0126,0.00108,0.00186,0.00408,0.00147,6.02e-05,0.00288,0.00303,-0.00196,-0.00139,0.00569
2020,1,17,54,-0.000809,0.0081,-0.000744,-0.0111,-0.0243,-0.00477,0.00494,-0.0163,0.00102,-0.0118,-0.00241,0.00399
2020,1,17,55,0.00179,0.00665,-0.000846,0.00285,-0.00251,0.000975,0.00256,0.000884,0.00562,0.0028,-0.00189,-0.000997
2020,1,17,56,0.00268,-0.00845,0.0132,-0.00547,0.0118,0.00295,0.00303,0.00239,-0.00716,-0.00659,0.00238,0.00333
2020,1,24,1,-0.00529,-0.0159,0.00135,0.000252,-0.00558,0.000809,-0.00777,-0.00195,-0.028,-0.00287,0.00507,-0.00476
2020,1,24,2,-0.00408,-0.0261,-0.00185,-0.00458,3.85e-05,-0.00312,-0.00619,-0.00248,0.00744,-0.000709,0.00884,0.031
2020,1,24,4,-0.000901,-0.00189,-0.000366,0.00227,-0.00544,0.000767,-0.000938,-0.000854,-0.00292,-0.00382,-0.00275,0.00315
2020,1,24,5,0.00647,0.00954,0.0101,0.00135,-0.000421,0.00621,0.0098,0.000662,0.0186,-0.00692,-0.0165,0.0414
2020,1,24,6,0.00353,-0.0121,0.00767,0.00353,0.00146,0.00582,0.00476,0.00258,0.00158,0.00108,0.0057,0.00776
2020,1,24,8,0.000953,-0.00514,0.0059,0.00195,-0.00305,0.00378,0.00307,-0.000369,0.00111,0.0029,0.00105,-0.00424
2020,1,24,9,-0.00141,-0.003,-0.00213,-0.000132,-0.00147,-0.00112,-0.00236,-0.00073,-0.00183,0.000759,-0.00445,-0.0021
2020,1,24,10,0.000544,-0.0011,0.00282,-0.00053,0.000693,0.00118,0.00105,1.53e-05,0.00269,0.0023,-0.00178,0.000108
2020,1,24,11,0.000889,-0.00241,0.00307,0.00219,-0.00102,0.00262,0.00236,0.000249,-0.00764,-0.00033,0.00316,0.00143
2020,1,24,12,0.001,0.000806,0.00165,0.00379,-0.00387,0.00264,0.00128,0.000659,0.00118,-0.00205,0.00349,0.00445
2020,1,24,13,-0.00148,-0.00101,0.000449,-0.00178,-0.00393,-0.000646,-0.000261,-0.00278,-0.00518,-0.00224,0.00223,-0.00171
2020,1,24,15,0.0107,0.0205,0.0117,0.00425,0.00469,0.00952,0.0144,0.00447,0.000481,-0.00448,0.0185,0.00793
2020,1,24,16,0.014,0.00591,0.0181,0.0157,0.0121,0.0171,0.0138,0.0143,-0.038187085440496114,0.00453,0.0141,0.0104
2020,1,24,17,-9.3e-05,-0.00029,-0.00118,0.00211,-0.00103,0.000373,-0.000881,0.000593,0.000741,0.00647,-0.00051,-0.00845
2020,1,24,18,0.000568,-0.00155,0.00338,0.00319,-0.00601,0.00329,0.00117,-0.000227,0.000953,-0.0061,0.00918,0.00114
2020,1,24,19,0.00029,-0.000408,-0.00162,0.00247,0.00121,0.000402,-0.000967,0.00197,-0.00545,0.00593,-0.00421,0.00813
2020,1,24,20,-0.00349,0.0046,-0.0103,-0.00186,-0.00462,-0.00623,-0.00395,-0.00298,-0.00727,-0.00228,-0.000627,-0.17307094682159943
2020,1,24,21,-0.00138,0.00306,-0.00203,-0.00363,-0.00489,-0.00275,0.000465,-0.00411,0.00669,-0.00059,-0.0058,-0.00113
2020,1,24,22,0.00124,0.00476,-0.00193,0.00151,-0.0018,-0.000289,0.00193,0.000173,-0.00252,-0.00601,0.00029,0.0146
2020,1,24,23,-0.000156,0.00309,-0.00205,0.00301,-0.00527,0.000187,-0.00067,0.000459,0.00486,-0.000324,-0.00015,-0.00858
