year,month,day,cityid,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed
2020,1,24,7,-0.00223,0.00376,-0.0016,-0.00328,-0.00851,-0.00242,0.00113,-0.00587
2020,1,24,8,-0.000217,-3.56e-05,-0.00241,0.00346,-0.00178,0.000172,-0.00126,0.00129
2020,1,24,9,0.000924,-0.0543,0.00455,0.00454,-0.00136,0.00454,-0.000651,0.00169
2020,1,24,10,0.00162,-0.000649,0.00292,0.00661,-0.00399,0.00461,0.00131,0.00199
2020,1,24,11,-0.00368,-0.000239,-0.00133,-0.00858,-0.00993,-0.00433,-0.000723,-0.00915
2020,1,24,12,0.00364,0.00142,0.00499,0.0041,0.00253,0.0045,0.00448,0.00327
2020,1,24,13,-0.00345,-0.00765,-0.0035,-0.00173,0.00137,-0.0027,-0.00564,-0.000387
2020,1,24,14,-0.00118,0.00885,-0.0156,0.00549,-0.00425,-0.00621,-0.0027,0.000945
2020,1,24,15,0.00152,0.00726,-0.000926,0.00184,-0.00338,0.000436,0.00323,-0.000474
2020,1,24,16,0.00233,0.00695,0.00711,-0.00033,-0.00263,0.00326,0.00705,-0.00145
2020,1,24,17,0.00273,0.00573,0.00617,0.00331,-0.00692,0.00475,0.00595,-0.00103
2020,1,24,18,0.00081,-0.00801,0.00692,0.00176,0.00022,0.00433,0.000494,0.00114
2020,1,24,19,-0.00609,-0.00857,-0.00399,0.00182,-0.0174,-0.00137,-0.00626,-0.00583
2020,1,24,20,0.00174,-0.000229,0.00494,0.00407,-0.00322,0.00452,0.00209,0.00122
2020,1,24,21,0.00515,-0.00614,0.00742,0.00612,0.0038,0.00666,0.00622,0.00479
2020,1,24,22,0.00233,-0.0017,0.0179,-0.0022,-0.00606,0.0128,0.00347,-0.049158480700552065
2020,1,24,23,0.00206,-0.00699,0.00466,0.0053,0.000983,0.00499,0.000524,0.00329
2020,1,24,24,0.00152,0.00284,0.00351,0.00292,-0.0041,0.00322,0.00341,0.000149
2020,1,24,25,0.000824,-0.00174,0.00326,0.000115,0.000217,0.00164,0.00197,0.000171
2020,1,24,26,0.00282,0.00655,0.000846,0.00052,0.00161,0.000692,0.00405,0.000955
2020,1,24,27,-0.00121,0.00132,-0.00109,-0.00372,-0.00102,-0.00232,-2.25e-05,-0.00269
2020,1,24,28,0.00226,-0.000202,0.00552,0.00547,-0.0023,0.00549,0.00448,0.00144
2020,1,24,29,0.000889,-0.00241,0.00307,0.00219,-0.00102,0.00262,0.00236,0.000249
2020,1,24,30,-0.00115,-0.00242,0.0027,-0.00247,-0.0033,0.000119,0.000612,-0.00283
2020,1,24,31,-8.33e-05,-0.000449,0.00216,-0.00053,-0.0023,0.000822,0.00071,-0.0012
2020,1,24,32,-0.000483,0.0101,-0.000961,-0.0113,-0.00986,-0.00506,0.00473,-0.0108
2020,1,24,33,-0.00152,-0.00646,-0.000557,0.0033,-0.00393,0.000945,-0.00281,0.000465
2020,1,24,34,0.011,-0.0216,0.0208,0.0121,-0.00529,0.0178,0.0148,0.00576
2020,1,24,35,-0.000313,-0.0125,0.00326,0.00255,-0.00564,0.00293,0.00105,-0.00128
2020,1,24,36,-0.00404,-0.00417,-0.00408,-0.00523,-0.0028,-0.0047,-0.00412,-0.00399
2020,1,24,37,-0.00641,-0.00521,-0.00574,-0.00359,-0.013,-0.00465,-0.00549,-0.00743
2020,1,24,38,0.00114,0.000451,0.00324,0.000868,-0.000516,0.00214,0.00198,0.000206
2020,1,24,39,-0.000327,-0.0142,0.00696,0.00676,-0.000616,0.00687,-0.00338,0.00343
2020,1,24,40,-0.0108,-0.00285,-0.0139,-0.0106,-0.0161,-0.0122,-0.00891,-0.0129
2020,1,24,41,0.00211,-0.00887,0.00324,0.00426,0.000309,0.00377,0.00164,0.00238
2020,1,24,42,-0.00119,-0.00272,-0.00047,0.000228,-0.00275,-0.000102,-0.0012,-0.00118
2020,1,24,43,-0.00358,-0.00434,-0.00346,-0.00168,-0.00566,-0.00259,-0.00382,-0.00334
2020,1,24,44,3.34e-06,0.0134,-0.0168,0.0031,-0.00386,-0.0072,-0.000152,0.000222
2020,1,24,45,-0.09406374840449024,-0.20056608508348797,-0.09716050108851673,-0.04494361716415164,-0.024090612677371174,-0.0752944669423997,-0.13578504345083486,-0.049158480700552065
2020,1,24,46,-0.00643,-0.0169,-0.00325,0.000765,-0.00435,-0.00137,-0.0102,-0.0014
2020,1,24,47,0.0174,-0.0128,0.0292,0.0125,-0.000223,0.0237,0.0245,0.00754
2020,1,24,48,0.0133,0.0294,0.0199,-0.00394,0.000148,0.0139,0.0225,-0.00147
2020,1,24,49,0.00799,0.00747,0.00704,0.00248,0.0191,0.00542,0.00719,0.00933
2020,1,24,50,0.00385,0.00594,0.00332,0.00345,0.00354,0.00337,0.00417,0.00349
2020,1,24,51,-0.000801,-0.00329,0.00662,-0.00498,-0.0062,0.00153,0.00233,-0.0054
2020,1,24,52,-0.00164,-0.000442,-0.00122,0.00101,-0.00852,-0.000178,-0.000902,-0.00253
2020,1,24,53,-0.00354,-0.00302,-0.00549,-0.00025,-0.00592,-0.00299,-0.00437,-0.00256
2020,1,31,1,0.000913,-0.0185,0.00545,0.0016,-0.00184,0.00385,0.00196,-4.05e-06
2020,1,31,2,0.000394,-0.00647,0.00517,-0.00324,0.000801,0.000879,0.00312,-0.0011
2020,1,31,3,-0.00329,0.000281,-0.00398,-0.00509,-0.00278,-0.00449,-0.00257,-0.00394
2020,1,31,4,0.00254,0.000976,0.00624,0.00378,-0.00153,0.00502,0.0037,0.00131
2020,1,31,5,0.00261,-0.00473,0.0117,-0.00277,0.00164,0.00534,0.00559,-0.000964
2020,1,31,6,0.00799,-0.0207,0.0172,0.00581,0.00464,0.0123,0.0111,0.00527
2020,1,31,7,-0.00103,0.00451,0.00307,-0.00488,-0.00769,-0.000795,0.0038,-0.00627
2020,1,31,8,-0.00184,0.00131,-0.00169,-0.00444,-0.00379,-0.0029,-0.000234,-0.00417
2020,1,31,9,0.00374,-0.0746,0.0119,0.0113,-0.00495,0.0116,0.00426,0.00349
2020,1,31,10,0.00271,-0.0115,0.00859,0.0108,0.000977,0.00962,-0.00046,0.00653
2020,1,31,11,-0.00257,-0.00129,-0.00453,0.0038,-0.0107,-0.00109,-0.00274,-0.00225
2020,1,31,12,0.00294,0.00268,0.000151,0.00317,0.00477,0.00183,0.000516,0.00402
2020,1,31,13,-0.0067,-0.0144,-0.00508,-0.00347,-0.000628,-0.00435,-0.00987,-0.00224
2020,1,31,14,0.00375,0.0207,-0.00895,0.00223,-0.00337,-0.00397,0.00669,-0.000384
2020,1,31,15,0.00357,0.00701,0.0112,-0.00391,-0.0016,0.00379,0.00909,-0.00288
2020,1,31,16,0.00358,0.00763,0.0142,-0.000843,-0.00483,0.00639,0.0115,-0.00278
2020,1,31,17,0.00628,0.0123,0.00827,0.00193,0.00121,0.00512,0.0103,0.00163
2020,1,31,18,0.000252,-0.00945,0.000144,0.0115,-0.00549,0.00582,-0.00399,0.00472
2020,1,31,19,-0.00779,-0.0232,0.01,-0.000801,-0.0233,0.00514,-0.00645,-0.00974
2020,1,31,20,-6.5e-05,-0.000456,0.0115,-0.0106,-0.00233,0.000884,0.00493,-0.00738
2020,1,31,21,0.0122,-0.00897,0.0216,0.0108,0.00944,0.0153,0.0189,0.01
2020,1,31,22,0.00574,0.00971,-0.013,0.0267,0.00715,-0.00289,0.00373,-0.049158480700552065
2020,1,31,23,-0.00173,-0.0132,0.00537,-0.0017,-0.00265,0.00178,-0.00121,-0.00214
2020,1,31,24,0.00152,-0.00345,-0.00332,0.00985,-0.00229,0.0032,-0.00334,0.00506
2020,1,31,25,0.00157,0.00451,0.00661,-0.00178,-0.000331,0.00229,0.00607,-0.000982
2020,1,31,26,0.00205,0.00537,0.00227,-0.00473,0.00479,-0.00104,0.00401,-0.000939
2020,1,31,27,0.00575,0.0156,0.00679,-0.00373,0.00506,0.00184,0.0107,-0.000391
2020,1,31,28,0.00425,-0.0153,0.0109,0.00674,0.000625,0.00833,0.00612,0.00356
2020,1,31,29,0.00353,0.00481,0.00589,0.00904,-0.00165,0.0075,0.00575,0.00257
2020,1,31,30,0.00274,0.0053,-0.000785,0.00152,0.00658,0.000368,0.0017,0.00373
2020,1,31,31,-0.00154,-0.00437,0.00305,-0.00171,-0.00297,0.000682,-0.00107,-0.00219
2020,1,31,32,0.00331,0.00181,0.0144,0.00311,-0.0208,0.00996,0.00793,-0.00582
2020,1,31,33,0.00153,-0.00906,0.00531,0.00791,-0.00175,0.00633,-0.000158,0.00413
2020,1,31,34,0.0115,-0.0292,0.0231,0.00427,0.00893,0.0165,0.0156,0.00597
2020,1,31,35,-0.00392,-0.0187,-0.00397,0.0022,-0.00767,-0.0011,-0.00604,-0.00242
2020,1,31,36,-0.00502,-0.0107,-0.000361,-0.00885,-0.00165,-0.00497,-0.0048,-0.00518
2020,1,31,37,-0.00743,-0.00956,-0.00889,-0.00293,-0.00914,-0.00587,-0.00921,-0.00546
2020,1,31,38,0.00194,0.0034,-0.00232,-0.000778,0.00881,-0.00161,0.000257,0.00381
2020,1,31,39,-0.00014,-0.0119,0.00686,0.00179,0.0035,0.0045,-0.00233,0.00256
2020,1,31,40,-0.0139,-0.0117,-0.0191,-0.00926,-0.0158,-0.0142,-0.0157,-0.012
2020,1,31,41,0.00353,-0.0129,-0.00246,0.00955,0.00573,0.00371,-0.00383,0.00772
2020,1,31,42,-0.00431,0.00242,-0.00952,-0.00382,-0.0029,-0.00651,-0.00564,-0.00339
2020,1,31,43,-0.00429,0.00271,0.003,-0.000533,-0.0275,0.00128,0.00288,-0.0118
2020,1,31,44,-0.000555,0.0128,-0.0141,-0.00171,-0.00328,-0.00813,0.000725,-0.00236
2020,1,31,45,-0.09406374840449024,-0.20056608508348797,-0.09716050108851673,-0.04494361716415164,-0.024090612677371174,-0.0752944669423997,-0.13578504345083486,-0.049158480700552065
2020,1,31,46,-0.00586,-0.0217,0.00289,0.0017,-0.00425,0.00233,-0.00963,-0.000821
2020,1,31,47,0.0194,-0.0281,0.0297,0.0242,-0.00141,0.0279,0.0232,0.0142
2020,1,31,48,-0.0714,-0.0711,-0.095,-0.0581,-0.0346,-0.0857,-0.0884,-0.0439
2020,1,31,49,0.022,0.0186,0.0265,0.0208,0.0169,0.0245,0.0237,0.0192
2020,1,31,50,0.00322,0.00419,0.00811,0.000199,-0.00233,0.00475,0.00684,-0.000895
2020,1,31,51,-0.00179,-0.0141,0.00989,-0.0118,0.0114,0.000385,-0.000487,-0.0037
2020,1,31,52,-0.00669,-0.00863,-0.000902,-0.00916,-0.0111,-0.00476,-0.00406,-0.00988
2020,1,31,53,-0.0035,-0.00995,-0.00123,-0.00147,-0.00146,-0.00134,-0.0052,-0.00146
2020,2,7,1,0.00159,-0.0323,0.00734,0.00377,-0.000853,0.00585,0.00156,0.00161
2020,2,7,2,0.0019,-0.00405,0.00444,-0.00293,0.00511,0.000684,0.00295,0.00133
2020,2,7,3,-0.00314,-0.00221,-0.00507,-0.00875,0.00428,-0.00675,-0.00412,-0.00227
